family,genus,species,subspecies,chromostome_number_2n,ploidy_level_x,dna_amount_1c_pg,c_value_reference,c_value_note
Euphorbiaceae,Euphorbia,Euphorbia cotinifolia,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia densa,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia deppeana,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia dracunculoides,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia granulata,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia helioscopia,NA,NA,4,0.89,vesely_nutrient_2013,
Euphorbiaceae,Euphorbia,Euphorbia hirta,NA,NA,NA,0.7,bennett_dna_1998,
Euphorbiaceae,Euphorbia,Euphorbia hypericifolia,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia kanaorica,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia kansui,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia kuwaleana,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia maddenii,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia micractina,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia microphylla,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia multiformis var. microphylla,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia prostrata,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia pulcherrima,NA,28,4,1.7,bennett_unpublished_1999,"Bennett MD, Price JP, Johnston S.  (pers. comm. 1999)."
Euphorbiaceae,Euphorbia,Euphorbia skottsbergii var. audens,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia skottsbergii var. skottsbergii,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia skottsbergii var. vaccinioides,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia thomsoniana,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia thyrsoidea,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia tirucalli,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia wallichii,NA,NA,NA,NA,NA,
Euphorbiaceae,Excoecaria,Excoecaria,NA,NA,NA,NA,NA,
Euphorbiaceae,Jatropha,Jatropha integerrima,NA,NA,NA,NA,NA,
Euphorbiaceae,Jatropha,Jatropha pandurifolia,NA,NA,NA,NA,NA,
Euphorbiaceae,Manihot,Manihot esculenta,NA,36,2,0.8,awoleye_nuclear_1994,
Euphorbiaceae,Mercurialis,Mercurialis perennis,NA,42,NA,1.53,pustahija_small_2013,
Euphorbiaceae,Pedilanthus,Pedilanthus tithymaloides,NA,NA,NA,NA,NA,
Euphorbiaceae,Ricinus,Ricinus communis,NA,22,2,1.9,ohri_nuclear_1986,
Euphorbiaceae,Sapium,Sapium sebiferum,NA,NA,NA,NA,NA,
Euphorbiaceae,Triadica,Triadica sebifera,NA,NA,NA,NA,NA,
Euphorbiaceae,Vernicia,Vernicia fordii,NA,NA,NA,NA,NA,
Fabaceae,Acacia,Acacia baileyana,NA,NA,NA,0.87,gallagher_invasiveness_2011,
Fabaceae,Acacia,Acacia farnesiana,NA,52,4,1.4,mukherjee_situ_1993,
Fabaceae,Acacia,Acacia longifolia,NA,NA,NA,NA,NA,
Fabaceae,Acacia,Acacia melanoxylon,NA,26,2,0.8,coulaud_first_1995,
Fabaceae,Anthyllis,Anthyllis boisseri,NA,NA,NA,NA,NA,
Fabaceae,Astragalus,Astragalus alyssoides,NA,NA,NA,NA,NA,
Fabaceae,Astragalus,Astragalus aureus,NA,NA,NA,NA,NA,
Fabaceae,Astragalus,Astragalus bicolor,NA,NA,NA,NA,NA,
Fabaceae,Astragalus,Astragalus glycyphyllus,NA,16,NA,0.83,vidic_selective_2009,
Fabaceae,Astragalus,Astragalus hamosus,NA,NA,NA,NA,NA,
Fabaceae,Astragalus,Astragalus hirticalyx,NA,NA,NA,NA,NA,
Fabaceae,Astragalus,Astragalus macrourus,NA,NA,NA,NA,NA,
Fabaceae,Astragalus,Astragalus microcephalus,NA,NA,NA,NA,NA,
Fabaceae,Astragalus,Astragalus onobrychioides,NA,16,NA,0.83,pustahija_small_2013,
Fabaceae,Astragalus,Astragalus pinetorum,NA,16,2,1.01,samad_phylogenetic_2014,
Fabaceae,Astragalus,Astragalus schistosus,NA,NA,NA,NA,NA,
Fabaceae,Astragalus,Astragalus sinicus,NA,NA,NA,NA,NA,
Fabaceae,Astragalus,Astragalus tanguticus,NA,NA,NA,NA,NA,
Fabaceae,Astragalus,Astragalus tribuloides,NA,NA,NA,NA,NA,
Fabaceae,Caragana,Caragana davazamcii,NA,NA,NA,NA,NA,
Fabaceae,Caragana,Caragana microphylla,NA,NA,NA,NA,NA,
Fabaceae,Caragana,Caragana pygmaea,NA,NA,NA,NA,NA,
Fabaceae,Cassia,Cassia leptophylla,NA,NA,NA,NA,NA,
Fabaceae,Ceratonia,Ceratonia siliqua,NA,24,2,0.65,ouarda_variability_2008,
Fabaceae,Cercis,Cercis canadensis,NA,NA,NA,NA,NA,
Fabaceae,Colutea,Colutea cilicica,NA,NA,NA,NA,NA,
Fabaceae,Coronilla,Coronilla scorpioides,NA,NA,NA,NA,NA,
Fabaceae,Coronilla,Coronilla varia,NA,NA,NA,NA,NA,
Fabaceae,Dorycnium,Dorycnium intermedium,NA,24,2,0.81,pustahija_small_2013,used diploid
Fabaceae,Erythrina,Erythrina caffra,NA,42,2,1.76,ohri_nuclear_2004,
Fabaceae,Glycine,Glycine max,NA,40,2,1.13,greilhuber_genome_1997,
Fabaceae,Glycyrrhiza,Glycyrrhiza uralensis,NA,NA,NA,NA,NA,
Fabaceae,Hedysarum,Hedysarum fruticosum,NA,NA,NA,NA,NA,
Fabaceae,Hippocrepis,Hippocrepis comosa,NA,28,NA,1.9,vidic_selective_2009,
Fabaceae,Hippocrepis,Hippocrepis unisiliquosa,NA,NA,NA,NA,NA,
Fabaceae,Lathyrus,Lathyrus cyaneus,NA,NA,NA,NA,NA,
Fabaceae,Lathyrus,Lathyrus laxiflorus,NA,14,2,9.6,kenton_unpublished_1988,"Kenton AY, Owens SJ. (pers. comm. 1988)."
Fabaceae,Lathyrus,Lathyrus pratensis,NA,14,2,4.54,vidic_selective_2009,used diploid
Fabaceae,Lathyrus,Lathyrus rotundifolius,NA,NA,NA,NA,NA,
Fabaceae,Lespedeza,Lespedeza davurica,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus aboriginus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus alamosanus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus alpinus,NA,12,2,0.5,borsos_cytophotometric_1973,
Fabaceae,Lotus,Lotus argophyllus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus argyraeus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus benthamii,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus bryantii,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus cedrosensis,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus collinus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus corniculatus,NA,24,4,1.19,pustahija_small_2013,
Fabaceae,Lotus,Lotus corniculatus var. corniculatus,NA,18,3,0.82,loureiro_genome_2013,
Fabaceae,Lotus,Lotus corniculatus var. hirsutus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus corniculatus var. japonicus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus crassifolius,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus creticus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus dendroideus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus denticulatus,NA,12,2,0.35,tanaka_determination_2016,
Fabaceae,Lotus,Lotus glaber,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus grandiflorus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus greenei,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus hamatus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus heermannii,NA,14,2,0.4,tanaka_determination_2016,
Fabaceae,Lotus,Lotus humistratus,NA,12,2,0.36,tanaka_determination_2016,
Fabaceae,Lotus,Lotus incanus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus junceus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus krylovii,NA,12,2,0.5,chen_species_1973,
Fabaceae,Lotus,Lotus micranthus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus nevadensis,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus nuttallianus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus oblongifolius,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus ornithopodioides,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus oroboides,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus peregrinus,var. carmeli (Boiss.) Ponert,14,2,0.57,tanaka_determination_2016,
Fabaceae,Lotus,Lotus procumbens,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus repens,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus rigidus,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus salsuginosus,NA,12,2,0.44,tanaka_determination_2016,
Fabaceae,Lotus,Lotus scoparius,var. scoparius,14,2,0.33,tanaka_determination_2016,
Fabaceae,Lotus,Lotus stipularis,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus strigosus,NA,14,2,0.46,tanaka_determination_2016,
Fabaceae,Lotus,Lotus subpinnatus,NA,12,2,0.38,tanaka_determination_2016,
Fabaceae,Lotus,Lotus uliginosus,NA,12,2,0.42,tanaka_determination_2016,
Fabaceae,Lotus,Lotus unifoliatus,NA,14,2,0.28,tanaka_determination_2016,
Fabaceae,Lotus,Lotus utahensis,NA,NA,NA,NA,NA,
Fabaceae,Lotus,Lotus wrightii,NA,14,2,0.71,tanaka_determination_2016,
Fabaceae,Lotus,Lotus yollabolliensis,NA,NA,NA,NA,NA,
Fabaceae,Medicago,Medicago lupulina,NA,16,2,0.9,mowforth_intra-population_1989,
Fabaceae,Medicago,Medicago minima,NA,16,2,0.58,fyad-lameche_chromosom_2016,
Fabaceae,Medicago,Medicago rigidula,NA,NA,NA,NA,NA,
Fabaceae,Medicago,Medicago ruthenica,NA,NA,NA,NA,NA,
Fabaceae,Medicago,Medicago sativa,NA,32,4,1.72,pustahija_small_2013,
Fabaceae,Onobrychis,Onobrychis bungei,NA,NA,NA,NA,NA,
Fabaceae,Onobrychis,Onobrychis cornuta,NA,NA,NA,NA,NA,
Fabaceae,Onobrychis,Onobrychis hohenackeriana,NA,NA,NA,NA,NA,
Fabaceae,Onobrychis,Onobrychis michauxii,NA,NA,NA,NA,NA,
Fabaceae,Oxytropis,Oxytropis aciphylla,NA,NA,NA,NA,NA,
Fabaceae,Oxytropis,Oxytropis biflora,NA,NA,NA,NA,NA,
Fabaceae,Oxytropis,Oxytropis deflexa,NA,NA,NA,NA,NA,
Fabaceae,Oxytropis,Oxytropis falcata,NA,NA,NA,NA,NA,
Fabaceae,Oxytropis,Oxytropis microphylla,NA,NA,NA,NA,NA,
Fabaceae,Oxytropis,Oxytropis ochrocephala,NA,NA,NA,NA,NA,
Fabaceae,Oxytropis,Oxytropis pauciflora,NA,NA,NA,NA,NA,
Fabaceae,Oxytropis,Oxytropis sericopetala,NA,NA,NA,NA,NA,
Fabaceae,Parkinsonia,Parkinsonia aculeata,NA,28,2,0.7,ohri_unpublished_1996,Ohri D. (pers. comm. 1996)
Fabaceae,Phaseolus,Phaseolus vulgaris,NA,22,2,0.6,kenton_unpublished_1988,"Kenton AY, Owens SJ. (pers. comm. 1988)."
Fabaceae,Securigera,Securigera securidaca,NA,NA,NA,NA,NA,
Fabaceae,Sophora,Sophora alopecuroides,NA,NA,NA,NA,NA,
Fabaceae,Thermopsis,Thermopsis alpina,NA,NA,NA,NA,NA,
Fabaceae,Trifolium,Trifolium alpestre,NA,16,2,0.78,siljak-yakovlev_towards_2010,
Fabaceae,Trifolium,Trifolium angulatum,NA,NA,NA,NA,NA,
Fabaceae,Trifolium,Trifolium angustifolium,NA,NA,NA,NA,NA,
Fabaceae,Trifolium,Trifolium arvense,NA,14,2,0.39,vizintin_genetic_2006,
Fabaceae,Trifolium,Trifolium campestre,NA,14,2,0.37,vizintin_genetic_2006,
Fabaceae,Trifolium,Trifolium canescens,NA,NA,NA,NA,NA,
Fabaceae,Trifolium,Trifolium dalmaticum,NA,10,NA,3.52,pustahija_small_2013,
Fabaceae,Trifolium,Trifolium hybridum,NA,16,2,0.62,vizintin_genetic_2006,
Fabaceae,Trifolium,Trifolium incarnatum,NA,14,2,0.67,vizintin_genetic_2006,
Fabaceae,Trifolium,Trifolium medium,NA,80,10,3.23,vizintin_genetic_2006,
Fabaceae,Trifolium,Trifolium micranthum,NA,NA,NA,NA,NA,
Fabaceae,Trifolium,Trifolium montanum,NA,16,NA,1.27,pustahija_small_2013,
Fabaceae,Trifolium,Trifolium pannonicum,NA,NA,NA,5.79,siljak-yakovlev_towards_2010,
Fabaceae,Trifolium,Trifolium pratense,NA,14,2,0.43,vizintin_genetic_2006,
Fabaceae,Trifolium,Trifolium repens,NA,32,4,1.06,pustahija_small_2013,
Fabaceae,Trifolium,Trifolium scabrum,NA,NA,NA,NA,NA,
Fabaceae,Trifolium,Trifolium stellatum,NA,NA,NA,NA,NA,
Fabaceae,Trifolium,Trifolium striatum,NA,14,2,0.38,vizintin_genetic_2006,
Fabaceae,Trifolium,Trifolium trichopterum,NA,NA,NA,NA,NA,
Fabaceae,Trifolium,Trifolium velenovskyi,NA,NA,NA,NA,NA,
Fabaceae,Trigonella,Trigonella brachycarpa,NA,NA,NA,NA,NA,
Fabaceae,Trigonella,Trigonella calliceras,NA,NA,NA,NA,NA,
Fabaceae,Trigonella,Trigonella gladiata,NA,NA,NA,NA,NA,
Fabaceae,Trigonella,Trigonella monspeliaca,NA,NA,NA,NA,NA,
Fabaceae,Trigonella,Trigonella spicata,NA,NA,NA,NA,NA,
Fabaceae,Vicia,Vicia amoena,NA,24,4,8.6,li_dna_1996,
Fabaceae,Vicia,Vicia faba,NA,12,2,13.3,bennett_nuclear_1976,
Fabaceae,Vicia,Vicia faba f. equina,NA,NA,NA,NA,NA,
Fabaceae,Vicia,Vicia grandiflora,NA,14,2,3.3,chooi_variation_1971,
Fabaceae,Vicia,Vicia hybrida,NA,12,2,6.8,martin_does_1966,
Fabaceae,Vicia,Vicia truncatula,NA,NA,NA,NA,NA,
Fabaceae,Vicia,Vicia variegata,NA,NA,NA,NA,NA,
Fagaceae,Quercus,Quercus agrifolia,NA,NA,NA,NA,NA,
Fagaceae,Quercus,Quercus macranthera,NA,NA,NA,NA,NA,
Fagaceae,Quercus,Quercus petraea,NA,24,2,0.91,pustahija_small_2013,
Gentianaceae,Gentiana,Gentiana clusii,NA,NA,NA,NA,NA,
Gentianaceae,Gentiana,Gentiana cruciata,NA,NA,NA,4.43,mikula_cryopreservation_2008,
Gentianaceae,Gentiana,Gentiana gelida,NA,NA,NA,NA,NA,
Gentianaceae,Gentiana,Gentiana straminea,NA,NA,NA,NA,NA,
Gentianaceae,Gentiana,Gentiana verna,NA,NA,NA,NA,NA,
Geraniaceae,Erodium,Erodium cicutarium,NA,20,NA,1.2,pustahija_small_2013,
Geraniaceae,Geranium,Geranium lucidum,NA,NA,NA,NA,NA,
Geraniaceae,Geranium,Geranium pratense,NA,NA,NA,NA,NA,
Geraniaceae,Geranium,Geranium robertianum,NA,NA,NA,NA,NA,
Geraniaceae,Geranium,Geranium rotundifolium,NA,NA,NA,NA,NA,
Geraniaceae,Pelargonium,Pelargonium domesticum,NA,NA,NA,NA,NA,
Geraniaceae,Pelargonium,Pelargonium peltatum,NA,NA,NA,NA,NA,
Geraniaceae,Pelargonium,Pelargonium zonale,NA,NA,NA,NA,NA,
Goodeniaceae,Scaevola,Scaevola chamissoniana,NA,NA,NA,NA,NA,
Goodeniaceae,Scaevola,Scaevola coriacea,NA,NA,NA,NA,NA,
Goodeniaceae,Scaevola,Scaevola gaudichaudiana,NA,NA,NA,NA,NA,
Goodeniaceae,Scaevola,Scaevola gaudichaudii,NA,NA,NA,NA,NA,
Goodeniaceae,Scaevola,Scaevola glabra,NA,NA,NA,NA,NA,
Goodeniaceae,Scaevola,Scaevola kilaueae,NA,NA,NA,NA,NA,
Goodeniaceae,Scaevola,Scaevola mollis,NA,NA,NA,NA,NA,
Goodeniaceae,Scaevola,Scaevola procera,NA,NA,NA,NA,NA,
Goodeniaceae,Scaevola,Scaevola taccada,NA,NA,NA,NA,NA,
Grossulariaceae,Ribes,Ribes diacanthum,NA,NA,NA,NA,NA,
Hypericaceae,Hypericum,Hypericum hirsutum,NA,NA,NA,0.15,hanson_unpublished_2002,"Hanson L, Leitch IJ, Bennett MD. Unpublished data from the Jodrell Laboratory, Royal Botanic Gardens, Kew"
Hypericaceae,Hypericum,Hypericum linarioides,NA,NA,NA,NA,NA,
Hypericaceae,Hypericum,Hypericum perforatum,NA,16,2,0.39,pustahija_small_2013,used diploid
Iridaceae,Gladiolus,Gladiolus segetum,NA,NA,NA,NA,NA,
Iridaceae,Iris,Iris acutiloba,NA,NA,NA,NA,NA,
Juglandaceae,Juglans,Juglans hindsii,NA,NA,NA,NA,NA,
Juncaceae,Juncus,Juncus articulatus,NA,80,8,1.8,band_unpublished_1984,
Juncaceae,Luzula,Luzula multiflora,subsp. multiflora,24,4,0.94,bacic_luzula_2007,
Lamiaceae,Ajuga,Ajuga comata,NA,NA,NA,NA,NA,
Lamiaceae,Ajuga,Ajuga orientalis,NA,NA,NA,NA,NA,
Lamiaceae,Betonica,Betonica grandiflora,NA,NA,NA,NA,NA,
Lamiaceae,Clinopodium,Clinopodium vulgare,NA,20,NA,0.45,pustahija_small_2013,
Lamiaceae,Coleus,Coleus blumei,NA,24,4,1.7,galbraith_rapid_1983,
Lamiaceae,Lamium,Lamium album,NA,18,2,1.1,bennett_nuclear_1972,
Lamiaceae,Lamium,Lamium amplexicaule,NA,NA,NA,1.29,bou_dagher-harrat_nuclear_2013,
Lamiaceae,Marrubium,Marrubium astracanicum,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha aquatica,NA,96,NA,1.5,band_unpublished_1984,
Lamiaceae,Mentha,Mentha arvensis,NA,36,NA,0.45,pustahija_small_2013,
Lamiaceae,Mentha,Mentha australis,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha citrata,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha diemenica,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha gentilis,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha longifolia,NA,24,2,0.39,hanson_unpublished_2002,"Hanson L, Leitch IJ, Bennett MD. Unpublished data from the Jodrell Laboratory, Royal Botanic Gardens, Kew"
Lamiaceae,Mentha,Mentha piperata,NA,NA,NA,0.3,olszewska_relationship_1983,
Lamiaceae,Mentha,Mentha piperita var. citrata,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha piperita var. officinalis,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha pulegium,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha requienii,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha spicata,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha spicata var. crispa,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha suaveolens,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha sylvestris,NA,NA,NA,NA,NA,
Lamiaceae,Mentha,Mentha viridis,NA,NA,NA,NA,NA,
Lamiaceae,Nepeta,Nepeta betonicifolia,NA,NA,NA,NA,NA,
Lamiaceae,Nepeta,Nepeta haussknechtii,NA,NA,NA,NA,NA,
Lamiaceae,Origanum,Origanum vulgare,NA,30,2,0.7,mowforth_intra-population_1989,
Lamiaceae,Phlomis,Phlomis herba-venti,NA,NA,NA,NA,NA,
Lamiaceae,Phlomis,Phlomis tuberosa,NA,NA,NA,2.02,vesely_genome_2012,
Lamiaceae,Prunella,Prunella vulgaris,NA,28,2,0.65,temsch_heavy_2010,
Lamiaceae,Salvia,Salvia atropatana,NA,NA,NA,NA,NA,
Lamiaceae,Salvia,Salvia involucrata,NA,NA,NA,NA,NA,
Lamiaceae,Salvia,Salvia nemorosa,NA,14,2,0.55,siljak-yakovlev_towards_2010,
Lamiaceae,Salvia,Salvia pratensis,NA,18,2,0.46,munzbergova_effect_2009,
Lamiaceae,Salvia,Salvia sclarea,NA,22,NA,0.58,siljak-yakovlev_towards_2010,
Lamiaceae,Salvia,Salvia verticillata,NA,16,2,0.69,munzbergova_effect_2009,
Lamiaceae,Salvia,Salvia viridis,NA,NA,NA,0.43,bou_dagher-harrat_nuclear_2013,
Lamiaceae,Satureja,Satureja macrantha,NA,NA,NA,NA,NA,
Lamiaceae,Scutellaria,Scutellaria pinnatifida,NA,NA,NA,NA,NA,
Lamiaceae,Scutellaria,Scutellaria viscidula,NA,NA,NA,0.44,zhang_new_2013,
Lamiaceae,Sideritis,Sideritis montana,NA,NA,NA,NA,NA,
Lamiaceae,Stachys,Stachys asterocalyx,NA,NA,NA,NA,NA,
Lamiaceae,Stachys,Stachys byzantina,NA,NA,NA,NA,NA,
Lamiaceae,Stachys,Stachys lavandulifolia,NA,NA,NA,NA,NA,
Lamiaceae,Stachys,Stachys schtschegleevii,NA,NA,NA,NA,NA,
Lamiaceae,Teucrium,Teucrium chamaedrys,NA,NA,NA,NA,NA,
Lamiaceae,Teucrium,Teucrium polium,NA,NA,NA,NA,NA,
Lamiaceae,Thymus,Thymus kotschyanus,NA,NA,NA,NA,NA,
Lamiaceae,Thymus,Thymus mongolicus,NA,NA,NA,NA,NA,
Lamiaceae,Thymus,Thymus praecox subsp. polytrichus,NA,NA,NA,NA,NA,
Lamiaceae,Ziziphora,Ziziphora capitata,NA,NA,NA,NA,NA,
Lamiaceae,Ziziphora,Ziziphora clinopodioides,NA,NA,NA,NA,NA,
Lauraceae,Cinnamomum,Cinnamomum camphora,NA,14,2,0.6,nagl_nuclear_1977,
Liliaceae,Tulipa,Tulipa hybrid,NA,NA,NA,NA,NA,
Linaceae,Linum,Linum nervosum,NA,NA,NA,NA,NA,
Linaceae,Linum,Linum nodiflorum,NA,NA,NA,NA,NA,
Linaceae,Linum,Linum tenuifolium,NA,16,NA,2.61,pustahija_small_2013,
Loranthaceae,Passovia,Passovia ovata,NA,NA,NA,NA,NA,
Lythraceae,Lagerstroemia,Lagerstroemia sp.,NA,NA,NA,NA,NA,
Magnoliaceae,Liriodendron,Liriodendron tulipifera,NA,NA,NA,1.84,liang_development_2007,
Magnoliaceae,Magnolia,Magnolia grandiflora,NA,NA,NA,4.53,horjales_cantidades_2003,
Magnoliaceae,Magnolia,Magnolia soulangeana,NA,76,4,6,nagl_nuclear_1977,
Malvaceae,Abutilon,Abutilon,NA,NA,NA,NA,NA,
Malvaceae,Brachychiton,Brachychiton populneus,NA,NA,NA,NA,NA,
Malvaceae,Ceiba,Ceiba speciosa,NA,NA,NA,NA,NA,
Malvaceae,Gossypium,Gossypium hirsutum,NA,52,4,2.4,hendrix_estimation_2005,
Meliaceae,Melia,Melia azedarach,NA,28,NA,0.43,ohri_unpublished_2002,Ohri D. (pers. comm. 2002).
Moraceae,Ficus,Ficus elastica,NA,26,2,0.7,ohri_nuclear_1987,
Moraceae,Ficus,Ficus macrophylla,NA,NA,NA,NA,NA,
Moraceae,Ficus,Ficus microcarpa,NA,NA,NA,NA,NA,
Moraceae,Ficus,Ficus repens,NA,NA,NA,NA,NA,
Moraceae,Morus,Morus alba,NA,NA,NA,0.9,ohri_nuclear_1986,
Myrtaceae,Agonis,Agonis flexuosa,NA,NA,NA,NA,NA,
Myrtaceae,Callistemon,Callistemon,NA,NA,NA,NA,NA,
Myrtaceae,Callistemon,Callistemon rigidus,NA,NA,NA,1.56,ohri_unpublished_2002,
Myrtaceae,Callistemon,Callistemon viminalis,NA,NA,NA,NA,NA,
Myrtaceae,Eucalyptus,Eucalyptus albens,NA,NA,NA,NA,NA,
Myrtaceae,Eucalyptus,Eucalyptus blakelyi,NA,NA,NA,NA,NA,
Myrtaceae,Eucalyptus,Eucalyptus cinerea,NA,NA,NA,NA,NA,
Myrtaceae,Eucalyptus,Eucalyptus ficifolia,NA,NA,NA,NA,NA,
Myrtaceae,Eucalyptus,Eucalyptus globulus,NA,22,2,0.55,praca_nuclear_2009,
Myrtaceae,Eucalyptus,Eucalyptus maculata,NA,NA,NA,NA,NA,
Myrtaceae,Eucalyptus,Eucalyptus maidenii,NA,NA,NA,NA,NA,
Myrtaceae,Eucalyptus,Eucalyptus melanophloia,NA,NA,NA,NA,NA,
Myrtaceae,Eucalyptus,Eucalyptus melliodora,NA,NA,NA,NA,NA,
Myrtaceae,Eucalyptus,Eucalyptus sideroxylon,NA,NA,NA,NA,NA,
Myrtaceae,Eucalyptus,Eucalyptus staigeriana,NA,NA,NA,NA,NA,
Myrtaceae,Eucalyptus,Eucalyptus tereticornis,NA,22,2,0.6,grattapaglia_nuclear_1994,
Myrtaceae,Eucalyptus,Eucalyptus tessellaris,NA,NA,NA,NA,NA,
Myrtaceae,Lophostemon,Lophostemon confertus,NA,NA,NA,NA,NA,
Myrtaceae,Melaleuca,Melaleuca linariifolia,NA,NA,NA,NA,NA,
Myrtaceae,Melaleuca,Melaleuca quinquenervia,NA,NA,NA,0.97,morgan_relationship_2005,
Myrtaceae,Melaleuca,Melaleuca styphelioides,NA,NA,NA,NA,NA,
Myrtaceae,Metrosideros,Metrosideros excelsa,NA,NA,NA,NA,NA,
Oleaceae,Chionanthus,Chionanthus retusus,NA,NA,NA,NA,NA,
Oleaceae,Fraxinus,Fraxinus excelsior,NA,46,2,0.84,siljak-yakovlev_towards_2010,
Oleaceae,Fraxinus,Fraxinus velutina,NA,NA,NA,NA,NA,
Oleaceae,Jasminum,Jasminum fruticans,NA,NA,NA,NA,NA,
Oleaceae,Ligustrum,Ligustrum lucidum,NA,NA,NA,NA,NA,
Oleaceae,Ligustrum,Ligustrum vulgare,NA,46,2,1.53,pustahija_small_2013,
Onagraceae,Fuchsia,Fuchsia speciosa hort. ex,NA,NA,NA,NA,NA,
Orchidaceae,Cephalanthera,Cephalanthera damasonium,NA,36,2,16.4,kiehn_unpublished_1986,"Kiehn M, Schweizer D. (pers. comm. 1986)."
Orchidaceae,Cephalanthera,Cephalanthera kurdica,NA,NA,NA,NA,NA,
Orchidaceae,Dactylorhiza,Dactylorhiza umbrosa,NA,NA,NA,NA,NA,
Orchidaceae,Epipactis,Epipactis helleborine,NA,NA,NA,13.8,bai_new_2012,
Orchidaceae,Gymnadenia,Gymnadenia conopsea,NA,NA,NA,5.51,siljak-yakovlev_towards_2010,
Orchidaceae,Orchis,Orchis adenocheila,NA,NA,NA,NA,NA,
Orchidaceae,Orchis,Orchis punctulata,NA,NA,NA,NA,NA,
Orobanchaceae,Melampyrum,Melampyrum sylvaticum,NA,NA,NA,NA,NA,
Orobanchaceae,Pedicularis,Pedicularis alaschanica,NA,NA,NA,NA,NA,
Orobanchaceae,Pedicularis,Pedicularis integrifolia,NA,NA,NA,NA,NA,
